"date","close","volume","open","high","low"

"2019/02/01","1626.2300","11484130.0000","1638.8800","1673.0600","1622.0100"
"2019/01/31","1718.7300","10304330.0000","1692.8500","1736.4110","1679.0821"
"2019/01/30","1670.4300","5717042.0000","1623.0000","1676.9500","1619.6800"
"2019/01/29","1593.8800","4591586.0000","1631.2700","1632.3800","1590.7200"
"2019/01/28","1637.8900","4807564.0000","1643.5900","1645.0000","1614.0900"
"2019/01/25","1670.5700","4933434.0000","1670.5000","1683.4800","1661.6122"
"2019/01/24","1654.9300","4077737.0000","1641.0700","1657.2572","1631.7847"
"2019/01/23","1640.0200","5192420.0000","1656.0000","1657.4300","1612.0000"
"2019/01/22","1632.1700","6402655.0000","1681.0000","1681.8668","1610.2000"
"2019/01/18","1696.2000","5973318.0000","1712.0000","1716.2000","1691.5400"
"2019/01/17","1693.2200","4179836.0000","1680.0000","1700.1700","1677.5000"
"2019/01/16","1683.7800","6343614.0000","1684.2200","1705.0000","1675.8787"
"2019/01/15","1674.5600","5964298.0000","1632.0000","1675.1600","1626.0100"
"2019/01/14","1617.2100","5989299.0000","1615.0000","1648.2000","1595.1500"
"2019/01/11","1640.5600","4670093.0000","1640.5500","1660.2940","1636.2200"
"2019/01/10","1656.2200","6487252.0000","1641.0100","1663.2500","1621.6150"
"2019/01/09","1659.4200","6333528.0000","1652.9800","1667.7989","1641.3953"
"2019/01/08","1656.5800","8830753.0000","1664.6900","1676.6100","1616.6100"
"2019/01/07","1629.5100","7971720.0000","1602.3100","1634.5600","1589.1850"
"2019/01/04","1575.3900","9161701.0000","1530.0000","1594.0000","1518.3101"
"2019/01/03","1500.2800","6934218.0000","1520.0100","1538.0000","1497.1100"
"2019/01/02","1539.1300","7871967.0000","1465.2000","1553.3600","1460.9300"
"2018/12/31","1501.9700","6941598.0000","1510.8000","1520.7600","1487.0000"
"2018/12/28","1478.0200","8822598.0000","1473.3500","1513.4700","1449.0000"
"2018/12/27","1461.6400","9631228.0000","1454.2000","1469.0000","1390.3100"
"2018/12/26","1470.9000","10332870.0000","1368.8900","1473.1567","1363.0100"
"2018/12/24","1343.9600","7219996.0000","1346.0000","1396.0300","1307.0000"
"2018/12/21","1377.4500","13556470.0000","1464.9900","1480.0000","1363.9600"
"2018/12/20","1460.8300","9912659.0000","1484.0000","1509.5000","1432.6900"
"2018/12/19","1495.0800","8624401.0000","1543.0500","1584.5300","1483.1800"
"2018/12/18","1551.4800","6468073.0000","1540.0000","1567.5500","1523.0100"
"2018/12/17","1520.9100","8729020.0000","1566.0000","1576.1300","1505.0100"
"2018/12/14","1591.9100","6347659.0000","1638.0000","1642.5700","1585.0000"
"2018/12/13","1658.3800","5249043.0000","1680.0000","1692.1200","1641.5000"
"2018/12/12","1663.5400","6581356.0000","1669.0000","1704.9900","1660.2700"
"2018/12/11","1643.2400","6217833.0000","1678.0000","1679.4684","1619.6000"
"2018/12/10","1641.0300","7467159.0000","1623.8400","1657.9900","1590.8700"
"2018/12/07","1629.1300","7508939.0000","1705.0700","1718.9262","1625.4600"
"2018/12/06","1699.1900","8701197.0000","1614.8700","1701.0500","1609.8500"
"2018/12/04","1668.4000","8653416.0000","1756.0000","1770.3382","1665.0000"
"2018/12/03","1772.3600","6840412.0000","1769.4600","1778.3400","1730.0000"
"2018/11/30","1690.1700","5744168.0000","1679.5000","1696.0000","1666.5000"
"2018/11/29","1673.5700","6600424.0000","1674.9900","1689.9900","1652.3310"
"2018/11/28","1677.7500","8429894.0000","1613.9200","1681.4500","1601.2150"
"2018/11/27","1581.4200","5758441.0000","1575.9900","1597.6500","1558.0100"
"2018/11/26","1581.3300","6226531.0000","1539.0000","1584.8100","1524.2200"
"2018/11/23","1502.0600","2707642.0000","1517.0000","1536.2000","1501.8100"
"2018/11/21","1516.7300","5707400.0000","1542.9900","1550.0000","1515.0000"
"2018/11/20","1495.4600","10824410.0000","1437.5000","1534.7500","1420.0000"
"2018/11/19","1512.2900","7741370.0000","1577.0100","1581.1900","1503.3600"
"2018/11/16","1593.4100","6057199.0000","1587.5000","1614.4800","1573.1200"
"2018/11/15","1619.4400","8379824.0000","1581.0100","1624.8200","1546.5100"
"2018/11/14","1599.0100","6439170.0000","1656.3200","1672.9952","1597.0700"
"2018/11/13","1631.1700","5901499.0000","1649.2900","1677.0638","1613.7500"
"2018/11/12","1636.8500","6763693.0000","1698.2400","1708.5500","1630.0100"
"2018/11/09","1712.4300","5892058.0000","1732.5000","1743.9206","1701.8700"
"2018/11/08","1754.9100","6520345.0000","1755.0000","1784.0000","1725.1100"
"2018/11/07","1755.4900","8166777.0000","1673.0000","1759.2300","1664.0750"
"2018/11/06","1642.8100","4206093.0000","1618.3500","1665.0000","1614.5500"
"2018/11/05","1627.8000","5615749.0000","1657.5700","1658.0900","1596.3600"
"2018/11/02","1665.5300","6932644.0000","1678.5900","1697.4400","1651.8300"
"2018/11/01","1665.5300","8054045.0000","1623.5300","1670.4465","1598.4400"
